metric,value,n,unit,retrievedAt,method
visibleDatePct,26,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
comparisonTablePct,1,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
faqPct,1,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.median,1814,220,words,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.q1,1099,220,words,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.q3,2757,220,words,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.min,85,220,words,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
wordCount.max,8020,220,words,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.guide.n,94,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.guide.pct,42,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.listicle.n,33,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.listicle.pct,15,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.category.n,27,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.category.pct,12,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.news.n,18,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.news.pct,8,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.other.n,8,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.other.pct,4,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.product.n,6,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.product.pct,3,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.study.n,5,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.study.pct,2,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.tool.n,4,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.tool.pct,2,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.forum.n,3,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
pageType.forum.pct,1,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.retailer.n,50,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.retailer.pct,22,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.brand.n,47,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.brand.pct,21,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.media.n,45,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.media.pct,20,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.blog.n,24,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.blog.pct,11,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.institution.n,14,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.institution.pct,6,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.other.n,9,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.other.pct,4,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.marketplace.n,6,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.marketplace.pct,3,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.forum.n,3,223,count,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
domainType.forum.pct,1,223,%,2026-09-07,"Page-one results (10 per query) for 30 queries fetched on 2026-09-07 through the hub search layer; each page classified by type and measured (word count, year in title, prices shown, visible date). Blocked/unknown fetches are excluded from page-level rates."
_license,https://creativecommons.org/licenses/by/4.0/,,,,"CC BY 4.0 — cita running-facil.com con un enlace a https://running-facil.com/estadisticas/"
